Incident ID,Timestamp,Incident Type,Call Type,Source Number,Destination Number,Error Code,Signal Strength,Device Type,Network Segment,Codec Used,Jitter,Latency,Packet Loss,Impact Area,Cell Tower Geolocation,Impact Severity,User Impact,Services Affected,Attack Type,Network Load / Congestion Level
11,17-12-2024 19.58,Intermittent Service,Video,+91 9350966153,+91 9427484838,408.0,-69.50215787828819,Router,Core Network,G.711,5ms,498ms,5%,Bangalore,"28.6644° N, 77.1588° E",Low,4804 users,Data,Equipment Breach,54%
12,18-12-2024 9.38,Slow Performance,Video,+91 9043948576,+91 9557477542,503.0,-63.16915775915789,Switch,Access Network,G.711,23ms,230ms,1%,Delhi NCR,"28.7076° N, 77.9532° E",Critical,374 users,Data,Equipment Breach,91%
13,19-12-2024 10.17,Hardware Malfunction,Video,+91 9167587760,+91 9669170399,500.0,-48.52488317509042,Mobile,Core Network,G.729,42ms,75ms,7%,Chennai,"28.3854° N, 77.0987° E",Medium,3832 users,Data,Equipment Breach,88%
14,18-12-2024 14.33,Degraded Performance,Voice,+91 9135628720,+91 9541785610,503.0,-75.32959728256878,Mobile,Access Network,H.264,34ms,436ms,2%,Bangalore,"28.6395° N, 77.9442° E",Medium,2452 users,Data,Equipment Breach,48%
15,17-12-2024 23.35,Device Unresponsiveness,Video,+91 9181466444,+91 9745007551,500.0,-78.61487482830465,Router,Access Network,H.264,24ms,213ms,9%,Delhi NCR,"28.0472° N, 77.6005° E",Low,780 users,PBX,Call Interception,62%
16,16-12-2024 19.54,Misconfigured Routes,Voice,+91 9541292811,+91 9624470956,408.0,-71.21077220628644,Switch,Access Network,G.711,23ms,363ms,8%,Kolkata,"28.0593° N, 77.1510° E",Low,447 users,PBX,Equipment Breach,63%
17,15-12-2024 17.16,unauthorized access,Voice,+91 9779724105,+91 9064395669,503.0,-42.644084974690024,PBX,Core Network,G.711,27ms,374ms,1%,Kolkata,"28.2868° N, 77.2426° E",Low,3427 users,Mobile,DDoS,95%
18,16-12-2024 0.57,data breaches,Voice,+91 9237480502,+91 9620632677,,-86.05823934689661,Switch,Access Network,G.711,15ms,108ms,1%,Delhi NCR,"28.7016° N, 77.2360° E",Medium,1193 users,VoIP,DDoS,92%
19,17-12-2024 13.31,Blank Response After Calling,Video,+91 9201648339,+91 9712370450,,-73.49132319068738,Switch,Core Network,H.264,39ms,142ms,7%,Kolkata,"28.5804° N, 77.9132° E",High,4188 users,VoIP,Equipment Breach,49%
20,17-12-2024 6.12,Route Flapping,Voice,+91 9173036450,+91 9267239477,404.0,-42.12285248837608,Router,Access Network,G.729,23ms,434ms,1%,Bangalore,"28.8492° N, 77.3080° E",Critical,2733 users,PBX,DDoS,56%
21,17-12-2024 0.59,Unauthorized Disconnections,Voice,+91 9910133116,+91 9529188794,500.0,-67.11274882426326,Mobile,Edge Network,G.711,27ms,133ms,9%,Mumbai,"28.8722° N, 77.4823° E",Medium,3960 users,VoIP,DDoS,87%
22,17-12-2024 16.42,unauthorized access,Voice,+91 9635992948,+91 9716607725,500.0,-70.61299376053779,Mobile,Core Network,H.264,40ms,357ms,4%,Kolkata,"28.6645° N, 77.4506° E",High,3171 users,VoIP,,49%
23,18-12-2024 14.57,unauthorized access,Voice,+91 9621581883,+91 9200314508,500.0,-55.79574629430091,PBX,Edge Network,Opus,37ms,249ms,9%,Kolkata,"28.0214° N, 77.6791° E",Medium,2929 users,Data,Call Interception,73%
24,15-12-2024 8.45,Network Downtime,Voice,+91 9752913143,+91 9590310700,500.0,-64.24549815074144,Mobile,Access Network,H.264,24ms,88ms,10%,Bangalore,"28.0435° N, 77.6029° E",High,4481 users,Mobile,DDoS,72%
25,15-12-2024 1.09,Complete Service Downtime,Voice,+91 9346982757,+91 9757126820,408.0,-79.34723403414368,Mobile,Core Network,G.729,7ms,154ms,10%,Bangalore,"28.0652° N, 77.2008° E",Critical,2358 users,VoIP,Equipment Breach,80%
26,18-12-2024 17.24,Intermittent Failure,Voice,+91 9378634817,+91 9163685754,503.0,-74.85674913271595,Mobile,Core Network,H.264,31ms,265ms,6%,Chennai,"28.7715° N, 77.1406° E",Medium,4322 users,Mobile,DDoS,47%
27,14-12-2024 11.54,malware infections,Video,+91 9392210195,+91 9359269798,503.0,-53.720624344605,Router,Access Network,Opus,30ms,256ms,0%,Chennai,"28.2341° N, 77.2458° E",Medium,3384 users,Data,Equipment Breach,71%
28,17-12-2024 19.27,Latency or Delays,Voice,+91 9203868135,+91 9970976679,404.0,-75.22590541970388,Mobile,Edge Network,G.729,27ms,325ms,2%,Bangalore,"28.2960° N, 77.2353° E",High,3149 users,Data,,44%
29,16-12-2024 17.29,Network Downtime,Voice,+91 9963911191,+91 9530868444,404.0,-50.37863747278822,PBX,Access Network,Opus,24ms,343ms,5%,Chennai,"28.4924° N, 77.9653° E",Low,4620 users,Data,DDoS,48%
30,15-12-2024 14.04,Intermittent Service,Video,+91 9354481914,+91 9162593160,,-77.87864777412838,Switch,Edge Network,H.264,9ms,230ms,1%,Chennai,"28.9858° N, 77.4781° E",Critical,2635 users,VoIP,DDoS,44%
31,16-12-2024 22.47,Degraded Performance,Video,+91 9276958069,+91 9880041394,500.0,-64.80362949075838,Router,Edge Network,Opus,47ms,483ms,9%,Chennai,"28.4787° N, 77.6023° E",Medium,1072 users,Data,Call Interception,80%
32,17-12-2024 4.51,Routing Table Overflow,Voice,+91 9421543491,+91 9290271588,500.0,-45.41952948636956,Switch,Edge Network,H.264,5ms,167ms,1%,Kolkata,"28.9494° N, 77.8882° E",Critical,3483 users,Data,Call Interception,58%
33,15-12-2024 21.58,Routing Table Overflow,Voice,+91 9545773649,+91 9422752146,404.0,-69.03907040809086,Mobile,Access Network,H.264,13ms,401ms,10%,Chennai,"28.4060° N, 77.3946° E",Critical,206 users,PBX,,47%
34,16-12-2024 13.13,Intermittent Connectivity,Video,+91 9623150759,+91 9099930773,404.0,-72.2969793709996,Mobile,Access Network,Opus,45ms,124ms,8%,Delhi NCR,"28.0762° N, 77.8202° E",Medium,3084 users,PBX,DDoS,52%
35,13-12-2024 21.33,Intermittent Service,Video,+91 9111200216,+91 9897798973,,-54.53554255704205,Mobile,Access Network,G.711,6ms,432ms,3%,Delhi NCR,"28.6916° N, 77.3573° E",High,4317 users,PBX,Equipment Breach,85%
36,14-12-2024 10.52,phishing attacks,Video,+91 9309807797,+91 9200156965,500.0,-85.83529727364078,Mobile,Core Network,H.264,45ms,152ms,10%,Chennai,"28.6775° N, 77.8810° E",Low,1765 users,Data,DDoS,45%
37,16-12-2024 17.10,Echo During Calls,Video,+91 9298805750,+91 9578129072,408.0,-86.22916433166937,Router,Core Network,Opus,50ms,194ms,2%,Mumbai,"28.0968° N, 77.6681° E",Critical,2355 users,Mobile,Equipment Breach,67%
38,15-12-2024 11.47,unauthorized access,Voice,+91 9940016309,+91 9072502822,408.0,-44.88836794770133,Router,Edge Network,G.711,28ms,178ms,3%,Mumbai,"28.6452° N, 77.5886° E",Low,379 users,PBX,DDoS,96%
39,15-12-2024 7.54,unauthorized access,Video,+91 9600585584,+91 9395933472,503.0,-41.735277270228536,Switch,Access Network,H.264,21ms,238ms,1%,Mumbai,"28.0775° N, 77.1445° E",High,406 users,Data,Call Interception,50%
40,13-12-2024 14.56,Unauthorized Disconnections,Video,+91 9405331733,+91 9384438587,503.0,-67.3166879684936,PBX,Edge Network,G.729,25ms,360ms,6%,Chennai,"28.4988° N, 77.7538° E",Medium,3854 users,VoIP,DDoS,52%
41,19-12-2024 3.44,Failure to Connect,Video,+91 9435571667,+91 9108208320,404.0,-64.64115144275824,Router,Access Network,G.711,35ms,322ms,9%,Bangalore,"28.7702° N, 77.5835° E",Critical,2565 users,PBX,,85%
42,16-12-2024 3.53,Device Unresponsiveness,Video,+91 9793282850,+91 9482949613,500.0,-63.08041051786359,PBX,Access Network,G.711,13ms,199ms,9%,Delhi NCR,"28.3181° N, 77.3382° E",Low,665 users,PBX,,51%
43,17-12-2024 9.49,Latency or Delays,Voice,+91 9841739581,+91 9286688206,408.0,-41.18645754541181,Switch,Access Network,G.711,39ms,123ms,5%,Kolkata,"28.8686° N, 77.7792° E",Low,4662 users,Data,DDoS,54%
44,18-12-2024 4.10,Failure to Connect,Voice,+91 9560111228,+91 9162749883,503.0,-73.88599663215408,Mobile,Edge Network,H.264,39ms,328ms,2%,Mumbai,"28.1081° N, 77.7596° E",Medium,3881 users,Data,Equipment Breach,52%
45,16-12-2024 21.12,Poor Voice Quality,Voice,+91 9248163648,+91 9115661850,404.0,-50.83919012398858,Router,Edge Network,G.729,8ms,152ms,5%,Delhi NCR,"28.8630° N, 77.7639° E",Low,3724 users,Data,,54%
46,13-12-2024 1.20,No Dial Tone,Voice,+91 9042945151,+91 9972192673,404.0,-65.19596757365264,Router,Edge Network,H.264,22ms,80ms,7%,Delhi NCR,"28.2281° N, 77.2939° E",Medium,1841 users,Mobile,DDoS,41%
47,17-12-2024 4.07,No Dial Tone,Video,+91 9840142601,+91 9531311487,,-67.89452748061125,Router,Edge Network,H.264,41ms,425ms,0%,Bangalore,"28.4002° N, 77.9464° E",Medium,697 users,VoIP,,67%
48,15-12-2024 21.18,denial of services,Voice,+91 9020911160,+91 9804412918,408.0,-80.59610095325162,Switch,Access Network,G.729,44ms,66ms,6%,Mumbai,"28.9801° N, 77.5213° E",High,1164 users,Data,Equipment Breach,53%
49,13-12-2024 10.05,Latency and Delay,Video,+91 9725184025,+91 9957418572,,-80.50813595869934,Router,Edge Network,G.711,45ms,402ms,9%,Chennai,"28.8705° N, 77.6378° E",Medium,4350 users,PBX,DDoS,88%
50,16-12-2024 18.38,Slow Performance,Voice,+91 9984360358,+91 9798180711,,-55.19000624161027,PBX,Access Network,Opus,48ms,183ms,10%,Mumbai,"28.8114° N, 77.8911° E",Medium,849 users,Mobile,,64%
51,14-12-2024 23.23,Latency or Delays,Voice,+91 9026609107,+91 9435022121,404.0,-47.22026887549615,Mobile,Access Network,G.711,41ms,284ms,3%,Bangalore,"28.9929° N, 77.3085° E",High,1814 users,Mobile,DDoS,95%
52,14-12-2024 12.29,Hardware Malfunction,Video,+91 9557488460,+91 9299416902,500.0,-50.307901924565954,Switch,Edge Network,Opus,23ms,366ms,5%,Bangalore,"28.3854° N, 77.8944° E",High,1476 users,Mobile,DDoS,94%
53,19-12-2024 6.36,Complete Service Downtime,Video,+91 9989067358,+91 9021624559,,-49.37860035956622,Router,Core Network,G.729,48ms,183ms,7%,Bangalore,"28.4352° N, 77.8331° E",High,149 users,Data,,85%
54,14-12-2024 16.52,Partial Outage,Voice,+91 9592771653,+91 9961291940,503.0,-77.30429360425568,Switch,Core Network,H.264,16ms,450ms,7%,Chennai,"28.8557° N, 77.1072° E",Medium,3333 users,PBX,DDoS,58%
55,18-12-2024 21.46,Complete Service Downtime,Voice,+91 9907910016,+91 9469130735,404.0,-82.11604924199524,PBX,Edge Network,H.264,18ms,171ms,0%,Delhi NCR,"28.1810° N, 77.3265° E",Low,2938 users,Mobile,Call Interception,56%
56,18-12-2024 3.11,Slow Performance,Voice,+91 9840681035,+91 9097025386,500.0,-89.4672543724149,Switch,Access Network,G.729,41ms,56ms,6%,Mumbai,"28.7145° N, 77.0166° E",Low,3547 users,PBX,,95%
57,15-12-2024 3.47,Intermittent Connectivity,Voice,+91 9771478179,+91 9875031373,,-40.51984818996227,Mobile,Core Network,G.729,23ms,404ms,8%,Bangalore,"28.8013° N, 77.6900° E",High,4250 users,PBX,DDoS,90%
58,16-12-2024 12.49,Misconfigured Routes,Video,+91 9235421107,+91 9918648117,408.0,-60.79247463282231,Mobile,Edge Network,Opus,10ms,258ms,8%,Chennai,"28.2104° N, 77.8867° E",Medium,270 users,Data,DDoS,98%
59,15-12-2024 20.17,unauthorized access,Video,+91 9500973967,+91 9540996456,408.0,-74.32747978330333,Router,Edge Network,G.711,7ms,412ms,5%,Chennai,"28.1527° N, 77.7738° E",Low,4071 users,Mobile,Call Interception,75%
60,17-12-2024 9.51,denial of services,Video,+91 9520345473,+91 9123926546,503.0,-58.09860709118425,PBX,Edge Network,Opus,18ms,168ms,7%,Bangalore,"28.4524° N, 77.1618° E",Critical,749 users,Mobile,Call Interception,95%
61,14-12-2024 12.02,Poor Voice Quality,Video,+91 9047979570,+91 9225100933,503.0,-60.656464272577935,Switch,Edge Network,G.729,34ms,291ms,9%,Mumbai,"28.5590° N, 77.4695° E",Critical,1956 users,Data,,84%
62,16-12-2024 15.40,Network Downtime,Voice,+91 9061347907,+91 9382571224,404.0,-86.99213220565805,PBX,Core Network,G.729,43ms,103ms,3%,Mumbai,"28.5560° N, 77.3431° E",Low,2095 users,Mobile,,47%
63,16-12-2024 6.49,Dropped Calls,Voice,+91 9184731382,+91 9871130144,404.0,-75.41800220282387,Switch,Access Network,G.711,9ms,262ms,5%,Bangalore,"28.9065° N, 77.4549° E",High,2421 users,Data,Equipment Breach,61%
64,18-12-2024 8.42,Echo During Calls,Voice,+91 9091255861,+91 9752283317,408.0,-53.65032315046825,Router,Edge Network,H.264,20ms,197ms,10%,Bangalore,"28.6117° N, 77.0814° E",Critical,1451 users,VoIP,Equipment Breach,94%
65,16-12-2024 18.39,Partial Outage,Video,+91 9284025991,+91 9825521618,408.0,-84.93280317570054,PBX,Core Network,Opus,39ms,285ms,0%,Delhi NCR,"28.8831° N, 77.1764° E",High,2750 users,Mobile,DDoS,89%
66,12-12-2024 19.30,Unauthorized Disconnections,Video,+91 9535456239,+91 9481747088,500.0,-60.321378361016286,Mobile,Edge Network,H.264,31ms,416ms,6%,Kolkata,"28.2763° N, 77.8086° E",Medium,520 users,Mobile,DDoS,99%
67,19-12-2024 7.13,Failure to Connect,Video,+91 9589214991,+91 9134942187,408.0,-71.24515227472783,PBX,Edge Network,G.711,34ms,96ms,2%,Mumbai,"28.4726° N, 77.8245° E",Low,2372 users,PBX,Equipment Breach,89%
68,14-12-2024 20.30,data breaches,Voice,+91 9795297849,+91 9249886099,500.0,-40.777275964014706,Router,Edge Network,G.711,44ms,472ms,1%,Mumbai,"28.4541° N, 77.4495° E",Critical,2872 users,Mobile,Equipment Breach,100%
69,18-12-2024 13.57,unauthorized access,Voice,+91 9637401608,+91 9358385829,503.0,-79.61354776190058,Switch,Access Network,H.264,27ms,288ms,9%,Kolkata,"28.7875° N, 77.0284° E",Medium,2297 users,Mobile,,58%
70,17-12-2024 12.13,Echo During Calls,Voice,+91 9660838005,+91 9620395771,503.0,-79.30913141998852,Mobile,Access Network,G.729,26ms,417ms,0%,Mumbai,"28.6085° N, 77.9606° E",High,1641 users,PBX,Equipment Breach,65%
71,14-12-2024 11.33,Service Outage,Voice,+91 9759085294,+91 9687964199,,-68.10160362030174,PBX,Access Network,G.711,27ms,114ms,2%,Kolkata,"28.5041° N, 77.0833° E",Medium,4699 users,VoIP,Equipment Breach,41%
72,16-12-2024 18.18,Slow Performance,Video,+91 9843431596,+91 9220749375,500.0,-45.810478100051206,Mobile,Core Network,G.711,13ms,167ms,8%,Chennai,"28.5753° N, 77.5208° E",Critical,754 users,PBX,Equipment Breach,42%
73,14-12-2024 23.20,Network Downtime,Voice,+91 9353681114,+91 9725632421,503.0,-55.81884514769904,Mobile,Core Network,G.711,8ms,162ms,10%,Bangalore,"28.8199° N, 77.5839° E",High,75 users,Mobile,Call Interception,59%
74,12-12-2024 16.33,phishing attacks,Video,+91 9924428724,+91 9401531459,404.0,-46.20367290943119,Switch,Edge Network,H.264,31ms,304ms,7%,Kolkata,"28.0983° N, 77.5287° E",Low,3817 users,VoIP,Call Interception,86%
75,18-12-2024 0.16,Routing Table Overflow,Voice,+91 9596731570,+91 9117473246,503.0,-69.4563060433053,Switch,Access Network,G.729,16ms,324ms,4%,Delhi NCR,"28.4403° N, 77.4530° E",Low,269 users,Mobile,Call Interception,73%
76,14-12-2024 21.16,Routing Protocol Failure,Voice,+91 9461143601,+91 9507258345,404.0,-71.27139864819894,PBX,Edge Network,G.711,36ms,467ms,5%,Mumbai,"28.3672° N, 77.8956° E",Low,1582 users,PBX,Equipment Breach,48%
77,19-12-2024 1.37,Routing Protocol Failure,Voice,+91 9779267880,+91 9784735920,503.0,-78.62477254912656,PBX,Access Network,G.711,7ms,112ms,7%,Mumbai,"28.1777° N, 77.0873° E",Medium,2235 users,Data,DDoS,49%
78,15-12-2024 10.17,data breaches,Video,+91 9730987981,+91 9314983399,500.0,-72.2737235701443,Router,Access Network,G.711,23ms,73ms,6%,Bangalore,"28.0067° N, 77.2231° E",Medium,1452 users,VoIP,Equipment Breach,54%
79,13-12-2024 18.37,Device Unresponsiveness,Voice,+91 9256111002,+91 9462802580,,-57.69436955141195,Switch,Edge Network,G.711,19ms,240ms,8%,Delhi NCR,"28.4303° N, 77.7165° E",Medium,4662 users,Mobile,,42%
80,18-12-2024 21.06,Intermittent Connectivity,Video,+91 9670578057,+91 9138260208,408.0,-66.88249986287313,Switch,Access Network,G.729,14ms,141ms,2%,Chennai,"28.9783° N, 77.3023° E",High,1381 users,Mobile,Equipment Breach,48%
81,14-12-2024 20.13,Service Outage,Video,+91 9292305576,+91 9340721892,500.0,-80.73385134169455,Mobile,Access Network,G.729,49ms,95ms,9%,Delhi NCR,"28.9568° N, 77.9895° E",High,3185 users,Data,Call Interception,70%
82,16-12-2024 18.59,Partial Outage,Video,+91 9917536959,+91 9186313941,408.0,-49.52321352460985,PBX,Edge Network,G.729,48ms,83ms,10%,Chennai,"28.8423° N, 77.2739° E",Low,4228 users,Data,DDoS,94%
83,16-12-2024 5.59,Routing Protocol Failure,Video,+91 9192904869,+91 9263538680,404.0,-49.80350492155529,Switch,Access Network,G.711,33ms,392ms,1%,Chennai,"28.1115° N, 77.4102° E",Medium,4920 users,Data,,58%
84,13-12-2024 0.07,Latency or Delays,Video,+91 9793564146,+91 9558456919,,-52.16555587604098,Router,Core Network,Opus,13ms,104ms,2%,Mumbai,"28.2631° N, 77.5608° E",High,2374 users,Data,,88%
85,12-12-2024 14.21,Blank Response After Calling,Video,+91 9793348464,+91 9342704907,,-75.57632594414216,Mobile,Edge Network,G.711,6ms,440ms,4%,Mumbai,"28.2110° N, 77.0793° E",Low,1654 users,Mobile,,52%
86,17-12-2024 17.30,No Dial Tone,Voice,+91 9491102227,+91 9607982095,,-84.42872774928834,PBX,Core Network,Opus,25ms,328ms,10%,Bangalore,"28.5291° N, 77.4123° E",Critical,1742 users,Data,Equipment Breach,77%
87,12-12-2024 19.26,Dropped Calls,Voice,+91 9206515409,+91 9369556797,404.0,-88.14360607223021,Mobile,Core Network,H.264,17ms,308ms,8%,Chennai,"28.7355° N, 77.7900° E",Critical,2984 users,Mobile,Equipment Breach,59%
88,15-12-2024 10.48,Intermittent Service,Voice,+91 9235067655,+91 9807987888,,-64.87926296575505,PBX,Core Network,G.729,46ms,143ms,4%,Kolkata,"28.0931° N, 77.2453° E",High,4542 users,Data,,54%
89,16-12-2024 15.38,denial of services,Video,+91 9418522069,+91 9762416523,500.0,-73.9110979112769,Switch,Edge Network,H.264,9ms,140ms,1%,Bangalore,"28.8516° N, 77.2177° E",Medium,3350 users,PBX,Call Interception,70%
90,16-12-2024 5.38,Failure to Connect,Video,+91 9357678145,+91 9947679457,404.0,-62.21729481831735,Switch,Edge Network,G.729,11ms,263ms,7%,Bangalore,"28.2152° N, 77.3629° E",Medium,4003 users,Data,,99%
91,17-12-2024 14.55,Service Outage,Voice,+91 9883063089,+91 9664870974,408.0,-57.8677633573737,Switch,Core Network,H.264,11ms,100ms,6%,Bangalore,"28.1979° N, 77.3995° E",Low,3334 users,VoIP,Call Interception,82%
92,15-12-2024 8.15,Complete Service Downtime,Video,+91 9527056358,+91 9380527311,408.0,-75.60550088597616,PBX,Edge Network,Opus,12ms,249ms,5%,Chennai,"28.9188° N, 77.4267° E",High,2532 users,PBX,,75%
93,15-12-2024 11.36,Complete Service Downtime,Voice,+91 9727601798,+91 9346806628,500.0,-45.056006022149006,Switch,Access Network,Opus,23ms,92ms,3%,Kolkata,"28.2138° N, 77.1722° E",Medium,1162 users,Mobile,Equipment Breach,78%
94,17-12-2024 13.03,Degraded Performance,Video,+91 9896997485,+91 9281266526,,-72.92799345107004,PBX,Edge Network,H.264,40ms,313ms,4%,Chennai,"28.9328° N, 77.2558° E",Low,4047 users,VoIP,,77%
95,14-12-2024 7.49,Network Downtime,Video,+91 9316097159,+91 9771920058,404.0,-76.36834762488994,Mobile,Edge Network,H.264,42ms,328ms,4%,Mumbai,"28.1214° N, 77.8404° E",High,4768 users,Mobile,Equipment Breach,43%
96,16-12-2024 6.22,data breaches,Video,+91 9089526363,+91 9968786825,503.0,-64.73304320949549,Mobile,Edge Network,G.729,38ms,80ms,1%,Bangalore,"28.5758° N, 77.2318° E",Critical,2410 users,Data,,63%
97,17-12-2024 20.24,Routing Protocol Failure,Voice,+91 9625168714,+91 9647773553,,-87.02318203539724,Mobile,Access Network,H.264,8ms,277ms,6%,Bangalore,"28.5470° N, 77.3783° E",Low,4582 users,Mobile,Equipment Breach,49%
98,15-12-2024 23.28,Misconfigured Routes,Voice,+91 9060946044,+91 9869957555,408.0,-85.69146476032543,Switch,Core Network,Opus,31ms,116ms,9%,Chennai,"28.0435° N, 77.6239° E",Critical,4555 users,VoIP,DDoS,52%
99,18-12-2024 9.46,No Dial Tone,Voice,+91 9669949542,+91 9318946844,408.0,-63.566082824261784,Router,Edge Network,H.264,8ms,273ms,5%,Chennai,"28.6629° N, 77.4066° E",Low,2050 users,Mobile,DDoS,94%
100,17-12-2024 10.04,Latency and Delay,Voice,+91 9503943635,+91 9730828608,500.0,-76.99081800457108,Switch,Core Network,G.729,17ms,122ms,7%,Chennai,"28.6035° N, 77.5647° E",Medium,1008 users,PBX,Call Interception,80%
101,16-12-2024 23.26,Service Outage,Video,+91 9882211522,+91 9146088744,408.0,-53.90414119998786,Mobile,Access Network,H.264,16ms,375ms,0%,Mumbai,"28.2472° N, 77.6607° E",Low,4759 users,Mobile,Equipment Breach,61%
102,17-12-2024 6.15,Dropped Calls,Video,+91 9418978809,+91 9580503895,503.0,-62.52098011875141,Switch,Core Network,G.729,23ms,405ms,0%,Bangalore,"28.6901° N, 77.6828° E",Low,474 users,VoIP,Call Interception,63%
103,15-12-2024 2.16,Degraded Performance,Video,+91 9781347042,+91 9061243402,503.0,-47.77701637129806,PBX,Access Network,H.264,37ms,366ms,1%,Bangalore,"28.3776° N, 77.2851° E",Medium,2161 users,Mobile,Equipment Breach,92%
104,17-12-2024 5.19,Intermittent Service,Voice,+91 9174192006,+91 9180969200,503.0,-80.25477033809736,Switch,Access Network,Opus,30ms,168ms,10%,Delhi NCR,"28.1208° N, 77.5504° E",Low,4618 users,VoIP,,65%
105,14-12-2024 10.34,denial of services,Voice,+91 9385331618,+91 9689709921,408.0,-81.83427245467591,Mobile,Edge Network,Opus,36ms,244ms,7%,Bangalore,"28.8402° N, 77.0588° E",High,4923 users,PBX,Equipment Breach,65%
106,16-12-2024 6.25,Blank Response After Calling,Voice,+91 9413063750,+91 9833731296,,-48.84925745732937,Switch,Access Network,Opus,33ms,90ms,3%,Bangalore,"28.0923° N, 77.9320° E",High,3976 users,PBX,Equipment Breach,58%
107,14-12-2024 15.19,Echo During Calls,Video,+91 9627090555,+91 9666235958,404.0,-43.49114934600196,Mobile,Core Network,G.711,16ms,270ms,0%,Mumbai,"28.0094° N, 77.8241° E",Low,4638 users,VoIP,Equipment Breach,43%
108,14-12-2024 18.28,Hardware Malfunction,Video,+91 9335705222,+91 9948001001,404.0,-89.35579954893817,PBX,Core Network,H.264,20ms,289ms,3%,Delhi NCR,"28.1074° N, 77.2867° E",Medium,141 users,VoIP,Equipment Breach,50%
109,19-12-2024 0.55,Service Outage,Video,+91 9123179933,+91 9657616142,,-52.5214933334137,PBX,Edge Network,G.729,34ms,247ms,6%,Delhi NCR,"28.1398° N, 77.0408° E",High,3165 users,Data,Call Interception,42%
110,16-12-2024 1.21,Failure to Connect,Voice,+91 9116692570,+91 9268678126,500.0,-72.83830687219175,Router,Access Network,Opus,17ms,231ms,10%,Mumbai,"28.6561° N, 77.6479° E",Medium,1463 users,PBX,,87%
111,16-12-2024 18.19,Complete Service Downtime,Video,+91 9992073248,+91 9630218374,500.0,-40.4750584901876,Switch,Access Network,Opus,42ms,300ms,4%,Kolkata,"28.3584° N, 77.2300° E",Critical,2939 users,Data,Call Interception,73%
112,13-12-2024 12.13,Routing Protocol Failure,Voice,+91 9147648301,+91 9537365339,500.0,-47.01110786833873,Mobile,Edge Network,H.264,49ms,58ms,10%,Delhi NCR,"28.7936° N, 77.5270° E",High,4738 users,PBX,DDoS,69%
113,14-12-2024 6.10,No Dial Tone,Voice,+91 9028019294,+91 9525060495,503.0,-66.57395670152361,Switch,Edge Network,Opus,19ms,73ms,4%,Kolkata,"28.0090° N, 77.3477° E",Low,1870 users,PBX,DDoS,55%
114,14-12-2024 5.30,Intermittent Failure,Voice,+91 9880549138,+91 9863442844,500.0,-46.34510774851746,Mobile,Core Network,H.264,44ms,247ms,0%,Chennai,"28.7562° N, 77.9027° E",High,1552 users,PBX,Call Interception,87%
